kmer_size	parent	region_type	chromosome	kmer_count	region_size_bp	region_size_mb	marker_density
21	Col-0	ARMS	1	3918647	30264361	30.264361	129480.5794842323
21	Col-0	ARMS	2	3224726	20792538	20.792538	155090.5425783038
21	Col-0	ARMS	3	3571171	23920899	23.920899	149290.835599448
21	Col-0	ARMS	4	2797647	19808363	19.808363	141235.64880146834
21	Col-0	ARMS	5	3838998	27394485	27.394485	140137.6225908244
21	Col-0	CEN	1	28470	2375714	2.375714	11983.7657226417
21	Col-0	CEN	2	27583	2220377	2.220377	12422.665160015618
21	Col-0	CEN	3	53391	2229768	2.229768	23944.64356829948
21	Col-0	CEN	4	34321	2773978	2.773978	12372.484569091752
21	Col-0	CEN	5	88250	2776500	2.7765	31784.62092562579
21	Ler-0	ARMS	1	4031959	30574675	30.574675	131872.5055949082
21	Ler-0	ARMS	2	2883184	19816988	19.816988	145490.5256035882
21	Ler-0	ARMS	3	3518418	24276647	24.276647	144930.1462430129
21	Ler-0	ARMS	4	3044179	20329438	20.329438	149742.4080291841
21	Ler-0	ARMS	5	3792076	27294671	27.294671	138931.00231909737
21	Ler-0	CEN	1	24956	1910386	1.910386	13063.3285629187
21	Ler-0	CEN	2	19362	1511612	1.511612	12808.842480742413
21	Ler-0	CEN	3	115011	3058593	3.058593	37602.58393320066
21	Ler-0	CEN	4	40321	2371286	2.371286	17003.853605174576
21	Ler-0	CEN	5	75901	3366464	3.366464	22546.20872226764
25	Col-0	ARMS	1	4525142	30264361	30.264361	149520.48714988562
25	Col-0	ARMS	2	3668625	20792538	20.792538	176439.4995935561
25	Col-0	ARMS	3	4102071	23920899	23.920899	171484.81752295347
25	Col-0	ARMS	4	3225492	19808363	19.808363	162834.8591955832
25	Col-0	ARMS	5	4399602	27394485	27.394485	160601.74155491515
25	Col-0	CEN	1	41001	2375714	2.375714	17258.390530173245
25	Col-0	CEN	2	40492	2220377	2.220377	18236.54271324194
25	Col-0	CEN	3	70558	2229768	2.229768	31643.65081927806
25	Col-0	CEN	4	50603	2773978	2.773978	18242.033642660466
25	Col-0	CEN	5	122651	2776500	2.7765	44174.680352962365
25	Ler-0	ARMS	1	4653107	30574675	30.574675	152188.27346488557
25	Ler-0	ARMS	2	3317330	19816988	19.816988	167398.29483673302
25	Ler-0	ARMS	3	4062184	24276647	24.276647	167328.8737114314
25	Ler-0	ARMS	4	3500160	20329438	20.329438	172172.000032662
25	Ler-0	ARMS	5	4351798	27294671	27.294671	159437.64260796548
25	Ler-0	CEN	1	37350	1910386	1.910386	19551.022672904848
25	Ler-0	CEN	2	28136	1511612	1.511612	18613.242022423743
25	Ler-0	CEN	3	149489	3058593	3.058593	48875.087335909026
25	Ler-0	CEN	4	57417	2371286	2.371286	24213.443675710143
25	Ler-0	CEN	5	96822	3366464	3.366464	28760.741240660824
31	Col-0	ARMS	1	5317533	30264361	30.264361	175702.80106029662
31	Col-0	ARMS	2	4245887	20792538	20.792538	204202.4403177717
31	Col-0	ARMS	3	4790328	23920899	23.920899	200257.0221127559
31	Col-0	ARMS	4	3781784	19808363	19.808363	190918.55293645416
31	Col-0	ARMS	5	5129536	27394485	27.394485	187247.0316561892
31	Col-0	CEN	1	62888	2375714	2.375714	26471.199816139488
31	Col-0	CEN	2	64442	2220377	2.220377	29022.999247425098
31	Col-0	CEN	3	99010	2229768	2.229768	44403.72271913491
31	Col-0	CEN	4	79497	2773978	2.773978	28658.12201827123
31	Col-0	CEN	5	180776	2776500	2.7765	65109.31028273005
31	Ler-0	ARMS	1	5463310	30574675	30.574675	178687.42676741455
31	Ler-0	ARMS	2	3881191	19816988	19.816988	195851.71066359835
31	Ler-0	ARMS	3	4772279	24276647	24.276647	196579.0003866679
31	Ler-0	ARMS	4	4093770	20329438	20.329438	201371.5283226226
31	Ler-0	ARMS	5	5081936	27294671	27.294671	186187.84597183822
31	Ler-0	CEN	1	59982	1910386	1.910386	31397.843158398355
31	Ler-0	CEN	2	43973	1511612	1.511612	29090.136886978933
31	Ler-0	CEN	3	204018	3058593	3.058593	66703.2194214791
31	Ler-0	CEN	4	87310	2371286	2.371286	36819.683496634316
31	Ler-0	CEN	5	132558	3366464	3.366464	39376.03372559457
35	Col-0	ARMS	1	5798738	30264361	30.264361	191602.8559135942
35	Col-0	ARMS	2	4594554	20792538	20.792538	220971.2926820189
35	Col-0	ARMS	3	5205586	23920899	23.920899	217616.65395602398
35	Col-0	ARMS	4	4117932	19808363	19.808363	207888.55696959916
35	Col-0	ARMS	5	5573288	27394485	27.394485	203445.62053274593
35	Col-0	CEN	1	79133	2375714	2.375714	33309.144114148425
35	Col-0	CEN	2	82887	2220377	2.220377	37330.147087634214
35	Col-0	CEN	3	119532	2229768	2.229768	53607.370811671884
35	Col-0	CEN	4	101510	2773978	2.773978	36593.657195550935
35	Col-0	CEN	5	222958	2776500	2.7765	80301.81883666487
35	Ler-0	ARMS	1	5954624	30574675	30.574675	194756.73903320314
35	Ler-0	ARMS	2	4221909	19816988	19.816988	213044.93901898715
35	Ler-0	ARMS	3	5201302	24276647	24.276647	214251.25141869878
35	Ler-0	ARMS	4	4451914	20329438	20.329438	218988.54262473955
35	Ler-0	ARMS	5	5525913	27294671	27.294671	202453.91490522088
35	Ler-0	CEN	1	77410	1910386	1.910386	40520.60683024269
35	Ler-0	CEN	2	56193	1511612	1.511612	37174.22195642797
35	Ler-0	CEN	3	241467	3058593	3.058593	78947.08449277167
35	Ler-0	CEN	4	110066	2371286	2.371286	46416.1640561282
35	Ler-0	CEN	5	158953	3366464	3.366464	47216.60472234368
41	Col-0	ARMS	1	6464704	30264361	30.264361	213607.81415474127
41	Col-0	ARMS	2	5074688	20792538	20.792538	244062.9421958974
41	Col-0	ARMS	3	5775757	23920899	23.920899	241452.33839246596
41	Col-0	ARMS	4	4581519	19808363	19.808363	231292.15675217583
41	Col-0	ARMS	5	6189137	27394485	27.394485	225926.38627811402
41	Col-0	CEN	1	105835	2375714	2.375714	44548.71251337493
41	Col-0	CEN	2	114109	2220377	2.220377	51391.72311729044
41	Col-0	CEN	3	152130	2229768	2.229768	68226.82897951716
41	Col-0	CEN	4	137716	2773978	2.773978	49645.671306693854
41	Col-0	CEN	5	289864	2776500	2.7765	104399.06356924186
41	Ler-0	ARMS	1	6635743	30574675	30.574675	217033.96683693287
41	Ler-0	ARMS	2	4692301	19816988	19.816988	236781.7450361276
41	Ler-0	ARMS	3	5790752	24276647	24.276647	238531.78735926753
41	Ler-0	ARMS	4	4944820	20329438	20.329438	243234.4661962618
41	Ler-0	ARMS	5	6141586	27294671	27.294671	225010.4425145846
41	Ler-0	CEN	1	106353	1910386	1.910386	55670.94817487147
41	Ler-0	CEN	2	76613	1511612	1.511612	50682.97949473807
41	Ler-0	CEN	3	298040	3058593	3.058593	97443.49771283724
41	Ler-0	CEN	4	146861	2371286	2.371286	61933.06079485983
41	Ler-0	CEN	5	202161	3366464	3.366464	60051.43675975742
